GEOID,Gini_Index,County,year
25001,0.4542,Barnstable County,2019
25003,0.4621,Berkshire County,2019
25005,0.4579,Bristol County,2019
25007,0.499,Dukes County,2019
25009,0.4816,Essex County,2019
25011,0.4541,Franklin County,2019
25013,0.4731,Hampden County,2019
25015,0.4532,Hampshire County,2019
25017,0.4638,Middlesex County,2019
25019,0.4936,Nantucket County,2019
25021,0.4766,Norfolk County,2019
25023,0.4539,Plymouth County,2019
25025,0.5327,Suffolk County,2019
25027,0.4551,Worcester County,2019
25001,0.4589,Barnstable County,2018
25003,0.4645,Berkshire County,2018
25005,0.4563,Bristol County,2018
25007,0.502,Dukes County,2018
25009,0.484,Essex County,2018
25011,0.4533,Franklin County,2018
25013,0.4704,Hampden County,2018
25015,0.4621,Hampshire County,2018
25017,0.468,Middlesex County,2018
25019,0.4775,Nantucket County,2018
25021,0.4774,Norfolk County,2018
25023,0.4494,Plymouth County,2018
25025,0.5365,Suffolk County,2018
25027,0.4553,Worcester County,2018
25001,0.4602,Barnstable County,2014
25003,0.4723,Berkshire County,2014
25005,0.4541,Bristol County,2014
25007,0.4654,Dukes County,2014
25009,0.4761,Essex County,2014
25011,0.4257,Franklin County,2014
25013,0.4668,Hampden County,2014
25015,0.4529,Hampshire County,2014
25017,0.4728,Middlesex County,2014
25019,0.4697,Nantucket County,2014
25021,0.4757,Norfolk County,2014
25023,0.4409,Plymouth County,2014
25025,0.5299,Suffolk County,2014
25027,0.4461,Worcester County,2014
25001,0.443,Barnstable County,2010
25003,0.462,Berkshire County,2010
25005,0.442,Bristol County,2010
25007,0.461,Dukes County,2010
25009,0.471,Essex County,2010
25011,0.411,Franklin County,2010
25013,0.459,Hampden County,2010
25015,0.435,Hampshire County,2010
25017,0.461,Middlesex County,2010
25019,0.547,Nantucket County,2010
25021,0.47,Norfolk County,2010
25023,0.425,Plymouth County,2010
25025,0.518,Suffolk County,2010
25027,0.433,Worcester County,2010
25001,0.4502,Barnstable County,2011
25003,0.4754,Berkshire County,2011
25005,0.4459,Bristol County,2011
25007,0.443,Dukes County,2011
25009,0.474,Essex County,2011
25011,0.4145,Franklin County,2011
25013,0.4585,Hampden County,2011
25015,0.4411,Hampshire County,2011
25017,0.4637,Middlesex County,2011
25019,0.512,Nantucket County,2011
25021,0.4711,Norfolk County,2011
25023,0.4278,Plymouth County,2011
25025,0.5241,Suffolk County,2011
25027,0.435,Worcester County,2011
25001,0.457,Barnstable County,2015
25003,0.472,Berkshire County,2015
25005,0.4536,Bristol County,2015
25007,0.5225,Dukes County,2015
25009,0.4769,Essex County,2015
25011,0.4349,Franklin County,2015
25013,0.4677,Hampden County,2015
25015,0.4606,Hampshire County,2015
25017,0.4734,Middlesex County,2015
25019,0.4682,Nantucket County,2015
25021,0.4751,Norfolk County,2015
25023,0.4468,Plymouth County,2015
25025,0.5327,Suffolk County,2015
25027,0.4496,Worcester County,2015
25001,0.4542,Barnstable County,2012
25003,0.4744,Berkshire County,2012
25005,0.4487,Bristol County,2012
25007,0.4573,Dukes County,2012
25009,0.4755,Essex County,2012
25011,0.4176,Franklin County,2012
25013,0.4598,Hampden County,2012
25015,0.4372,Hampshire County,2012
25017,0.4665,Middlesex County,2012
25019,0.4955,Nantucket County,2012
25021,0.4731,Norfolk County,2012
25023,0.4336,Plymouth County,2012
25025,0.5245,Suffolk County,2012
25027,0.4351,Worcester County,2012
25001,0.4604,Barnstable County,2016
25003,0.4656,Berkshire County,2016
25005,0.4539,Bristol County,2016
25007,0.5239,Dukes County,2016
25009,0.4783,Essex County,2016
25011,0.4438,Franklin County,2016
25013,0.4655,Hampden County,2016
25015,0.464,Hampshire County,2016
25017,0.471,Middlesex County,2016
25019,0.46,Nantucket County,2016
25021,0.4806,Norfolk County,2016
25023,0.4445,Plymouth County,2016
25025,0.5327,Suffolk County,2016
25027,0.4516,Worcester County,2016
25001,0.4585,Barnstable County,2017
25003,0.464,Berkshire County,2017
25005,0.4562,Bristol County,2017
25007,0.5096,Dukes County,2017
25009,0.4775,Essex County,2017
25011,0.4514,Franklin County,2017
25013,0.4682,Hampden County,2017
25015,0.4597,Hampshire County,2017
25017,0.4704,Middlesex County,2017
25019,0.4674,Nantucket County,2017
25021,0.4771,Norfolk County,2017
25023,0.4468,Plymouth County,2017
25025,0.5344,Suffolk County,2017
25027,0.4547,Worcester County,2017
25001,0.4553,Barnstable County,2013
25003,0.4711,Berkshire County,2013
25005,0.4532,Bristol County,2013
25007,0.4564,Dukes County,2013
25009,0.472,Essex County,2013
25011,0.42,Franklin County,2013
25013,0.4644,Hampden County,2013
25015,0.4443,Hampshire County,2013
25017,0.4706,Middlesex County,2013
25019,0.479,Nantucket County,2013
25021,0.4768,Norfolk County,2013
25023,0.4376,Plymouth County,2013
25025,0.5244,Suffolk County,2013
25027,0.4393,Worcester County,2013
